gasto_personal;inversion_AF;ventas
32334949;92544622;321070109
5669798;69317638;86597330
11081213;50853587;26727389
47892609;42426113;388005721
56410101;35164028;390070138
20536798;27028346;490639882
14001910;25150313;379365700
38533922;23019658;488079500
21397321;22007282;233432780
3478034;21924323;9932602
12251533;21446388;110137266
39616375;20016277;192616300
3356297;19967015;91101222
6794384;18818562;135150368
17645886;18627500;165364432
93083335;17784431;396766714
19375081;16697670;191763413
25100447;16576632;379105096
21100236;16103203;189936880
50177477;15578059;365849674
19218477;15475375;164003166
84281371;14321144;423195220
3184204;14238095;38485306
11745637;13809841;75693068
14388759;13803760;259751220
50545524;13500883;330867394
3174789;13015869;62249152
30961077;12672212;236006882
4744530;12057995;110167660
8647705;12019940;163507993
10269828;11619716;55727103
10934460;11555678;136493373
20606214;11485200;50916097
23747426;11179981;177136331
22088759;10501572;162509864
10262951;9544726;123686337
3388282;9468921;20187362
2727845;9146364;11434553
3720876;9086434;306175590
34239982;8742168;179418565
28831479;8255222;95846261
34302712;8095110;178891702
4900252;7931515;6373122
53933736;7873975;287534695
32021317;7646912;222365928
13764360;7426174;19113344
19776408;7075724;88052658
23872602;6824160;165444927
5219070;6423171;87324374
13412476;6412747;121226640
5830765;6411047;31827897
35619346;6298885;355534251
32058205;6072767;361162452
9366994;5984427;38000054
44924053;5979907;327847201
21648490;5970883;260836023
21063010;5894914;91704953
19868613;5677906;127729200
7334998;5615593;115741258
3940253;5530102;23168133
8332708;5164175;44945425
5455670;5051555;54086149
9352991;4979745;192609248
6273825;4918954;60356282
14535620;4682533;131567450
20778012;4460590;86139009
18389235;4402522;414619492
22069846;4288329;110498727
2899173;4071038;28432446
19630916;4003040;128858109
23621060;3974972;198280234
8006475;3852212;51505468
8825513;3836499;41649898
10587981;3743148;24735684
6032863;3633798;26020537
15357131;3452077;106490924
9684465;3446897;316395330
9200152;3394904;81068650
4461561;3133090;22469476
11821945;3092589;303968848
14168903;3061648;165574566
1091210;3042386;38908734
12598883;3016448;120308325
5858383;2915550;32497220
10749305;2873470;109902499
5088185;2791005;57811869
14560363;2479205;239853816
16452848;2378073;41939814
13004644;2272796;66037827
4037396;2199046;282448411
23535340;2143756;70593368
3779808;2091752;321985848
8339634;1945666;11717745
7021878;1936901;37339666
7920019;1918402;35043862
24915346;1860599;261307789
14245208;1859701;187086950
4465352;1748439;25249646
8011742;1713463;109770298
12713234;1651865;85200149
10452555;1623736;183083874
752856;1534901;17011513
31690551;1529403;271902768
7713756;1513289;13069720
41456797;1498564;160763941
7556656;1491882;44546506
6407389;1426849;278980187
1248906;1406724;8445873
6890522;1391766;42804530
814349;1389081;20658258
4959474;1325824;90612765
25263525;1318569;124405266
4029262;1307016;41444943
1958395;1265753;12237080
17866421;1244431;79861793
7919080;1240530;23857010
16732601;1184062;64443517
4954499;1152094;74585881
3846152;1098557;9529577
4017272;1083299;18576015
7506332;1078638;21820851
8430191;1064702;24910391
2999176;1044994;19431246
10729724;1033981;91456745
5455446;994640;57842908
5823070;975032;18689909
8508865;941037;6648489
6023658;938452;10240161
9474742;908640;128148141
14468726;893847;68496181
5653362;878812;51836470
11002358;875513;31058660
9059250;855624;74513197
5199646;855593;29710189
2390254;816959;12748618
39345336;810139;465063496
12001629;795711;72958879
2481988;782000;21940730
7507488;781534;52489448
6668544;773444;44580029
3450118;773000;9811136
10415341;704003;28911314
1459203;649040;18565287
3407158;646980;6987847
3646856;609369;27720084
5048544;608679;22350267
8937508;604121;47261702
6741359;599159;12779946
2115723;595782;141493006
3603312;564443;17217444
3422605;563538;14741432
2232453;557743;8139262
7017063;546278;34825920
5839067;516449;21287487
6741848;511247;95716296
6703994;475856;36684369
1668503;443504;3902852
4760406;425686;38039164
2572560;398940;63516112
5045490;388141;172779783
1072767;372082;7514290
6810663;372069;22719044
3955605;369409;20259501
1879548;369049;29033622
6226527;367864;34525436
9386665;364272;33370073
11160744;342577;59959110
21295808;340583;29781157
3412622;328569;18277270
7373345;327402;37970437
8575341;312822;57342249
11027880;311491;32504403
21348524;290462;172548498
4756263;265025;59514053
2340113;241891;13143815
14257150;214904;45927616
9824588;202001;53867329
2166734;198361;84023575
3587427;192805;18344144
7326062;180713;71941295
5604782;154081;40511350
1469486;150837;11677471
3236264;132424;18081493
4313370;130924;24727124
13908448;110872;71990163
7387312;105344;52964381
3463432;76332;22623841
4034848;75594;7735460
6037085;68696;18034746
7977702;63568;20980401
1312298;61692;29630298
1872320;36430;7972882
1316866;31115;21455900
2139842;29319;29579865
2087713;28077;7642522
6037349;19340;53455389
4612212;9667;37870585
2993054;8849;21742561
2091488;4807;21431599
9000759;406;95614757
8437645;0;179563553
22073101;0;128310447
807570;0;50855417
7026598;0;43933205
1918096;0;35460281
1173516;0;29247762
4800461;0;28322783
610076;0;27517554
1936165;0;23353666
5348684;0;21341229
3841134;0;20050214
4361994;0;15676073
553982;0;6017729
1015423;0;2727899
561813;0;291191
6644794;0;0
